frame,t,phase,heavy_x,heavy_y,heavy_z,heavy_vx,heavy_vy,heavy_vz,heavy_sub,light_x,light_y,light_z,light_vx,light_vy,light_vz,light_sub,heavy_fx,heavy_fy,heavy_fz,light_fx,light_fy,light_fz,mass,mass0,mass_rel
190,3.166667,run,1.06212151,0.74623698,0.07999904,0.33659446,0.12224851,-0.00000103,0.732432,1.13194966,0.86489105,0.17989260,-0.26440936,-0.01536678,0.16749108,0.386704,-0.00249477,0.00047433,0.00694288,-0.00122988,0.00073620,0.00104797,29737.779297,31245.734375,0.95173885
200,3.333333,run,1.08623695,0.76823968,0.07998757,-0.06369571,0.12666140,0.00003161,0.873044,1.08238709,0.87360859,0.20031993,-0.34871575,0.06028152,0.04937615,0.451028,-0.01137643,0.00277300,0.01241040,-0.00170173,-0.00116253,0.00077280,29704.527344,31245.734375,0.95067464
210,3.500000,run,1.05656922,0.78564245,0.07998582,-0.22997224,0.08846658,-0.00005410,0.894007,1.00902140,0.88350064,0.19728862,-0.47997352,0.04445887,-0.06434465,0.304776,-0.00124766,0.00085765,0.00703989,0.00041860,-0.00084876,0.00059800,29645.484375,31245.734375,0.94878501
220,3.666667,run,1.01777768,0.80220515,0.07998626,-0.23266612,0.10045430,-0.00008989,0.819686,0.92752534,0.89298332,0.17596340,-0.48720413,0.04429779,-0.18560673,0.191552,-0.00169427,-0.00141048,0.00630838,0.00007575,-0.00040983,0.00020700,29587.867188,31245.734375,0.94694101
230,3.833333,run,0.97904134,0.81488532,0.07998693,-0.23401156,0.05772023,-0.00011461,0.704922,0.85581642,0.89592344,0.14201033,-0.35897511,-0.00173543,-0.16995256,0.191498,-0.00261878,-0.00051965,0.00603996,0.00061152,0.00003321,0.00030825,29541.566406,31245.734375,0.94545918
240,4.000000,run,0.94305205,0.82155812,0.07998692,-0.17299406,0.02085241,0.00007507,0.562718,0.80845839,0.89589435,0.12423010,-0.19631205,0.00637472,-0.04622786,0.277114,-0.00075921,-0.00111260,0.00221239,0.00101287,0.00007819,0.00046297,29508.250000,31245.734375,0.94439291
250,4.166667,run,0.92105287,0.82269257,0.07998668,-0.10747536,-0.00923743,-0.00000657,0.510441,0.78529525,0.89455438,0.12475802,-0.12450535,-0.04261809,0.00197896,0.168489,0.00016004,-0.00118805,0.00292707,0.00038213,-0.00027423,0.00010886,29488.015625,31245.734375,0.94374532
260,4.333333,run,0.90228432,0.82280737,0.07998464,-0.13912028,-0.00699969,-0.00066578,0.635106,0.75900203,0.88331872,0.11750138,-0.18791486,-0.08493093,-0.06189480,0.237136,-0.00370843,-0.00121802,0.00338428,0.00019317,-0.00074887,0.00041506,29457.617188,31245.734375,0.94277244
270,4.500000,run,0.87623477,0.81994700,0.07998586,-0.15574038,-0.02902240,0.00001287,0.476626,0.72642654,0.87060440,0.10428786,-0.17211242,-0.04842556,-0.06170454,0.268587,-0.00010104,-0.00007357,0.00135148,0.00035258,0.00018837,0.00041942,29435.117188,31245.734375,0.94205234
280,4.666667,run,0.85404170,0.81680083,0.07998583,-0.10221457,-0.01755247,-0.00000461,0.420472,0.70395017,0.86647385,0.10456693,-0.09359434,-0.01536099,0.04736597,0.260100,-0.00029130,0.00035600,0.00113421,0.00107000,-0.00033764,0.00051115,29414.894531,31245.734375,0.94140513
290,4.833333,run,0.84378827,0.81453913,0.07998576,-0.02305822,-0.00311999,0.00003126,0.473684,0.69576949,0.86619294,0.11194173,-0.00057077,0.03833635,0.03727823,0.261535,0.00018514,0.00051690,0.00090422,0.00106455,0.00006547,0.00051749,29400.312500,31245.734375,0.94093844
300,5.000000,run,0.84545839,0.81309932,0.07998564,0.05232852,-0.01626276,0.00000041,0.558063,0.70588934,0.87441510,0.12855536,0.11943643,0.02298242,0.14341895,0.378201,-0.00012044,0.00134003,0.00233972,0.00334030,-0.00132629,0.00109012,29391.699219,31245.734375,0.94066278
310,5.166667,run,0.86572897,0.81229150,0.07998594,0.16363193,-0.00024085,0.00001497,0.580892,0.73611879,0.87454140,0.15015802,0.19119884,-0.01370487,0.06286974,0.342977,0.00084569,0.00138201,0.00223642,0.00075692,-0.00064998,0.00091537,29366.761719,31245.734375,0.93986467
320,5.333333,run,0.89101553,0.81070781,0.07999655,0.10645281,-0.01357066,-0.00035348,0.684280,0.75603002,0.87188935,0.14029038,0.03724247,-0.01562315,-0.15340081,0.246412,-0.00208649,0.00213867,0.00493493,-0.00038157,0.00001738,0.00069360,29341.582031,31245.734375,0.93905881
330,5.500000,run,0.89972180,0.81229091,0.07998611,-0.00169716,0.00977994,0.00062732,0.663690,0.75485933,0.86687171,0.12041859,-0.03494599,-0.03591847,-0.05613215,0.351544,-0.00260298,-0.00025598,0.00599977,0.00018249,0.00001683,0.00089581,29316.300781,31245.734375,0.93824970
340,5.666667,run,0.89417422,0.81475025,0.07998666,-0.06553099,0.03251948,-0.00006772,0.635593,0.74946898,0.86984938,0.12027654,-0.04077955,0.07520365,0.03033420,0.324152,-0.00301501,0.00233352,0.00324711,0.00197651,0.00002725,0.00088166,29309.654297,31245.734375,0.93803698
350,5.833333,run,0.87777525,0.82200015,0.07998749,-0.14663176,0.03113537,-0.00010630,0.723141,0.73742986,0.88537395,0.12341407,-0.13548334,0.06037932,-0.00673119,0.206265,-0.00391633,-0.00154323,0.00543949,0.00038263,-0.00060315,0.00057185,29289.792969,31245.734375,0.93740133
360,6.000000,run,0.84636837,0.82547545,0.07998709,-0.21839455,0.01524496,0.00003770,0.689093,0.70685339,0.89261878,0.12031387,-0.21494825,0.03138104,-0.01498550,0.297333,-0.00291019,-0.00059541,0.00408861,0.00083148,-0.00002787,0.00051081,29253.951172,31245.734375,0.93625424
370,6.166667,run,0.80761147,0.82833874,0.07998701,-0.23563130,0.01740076,-0.00001557,0.688589,0.67217910,0.90004927,0.12597065,-0.19728471,0.05097978,0.06041574,0.287728,-0.00324115,0.00174156,0.00506637,0.00116876,-0.00052596,0.00059281,29218.664062,31245.734375,0.93512489
380,6.333333,run,0.76914692,0.82926255,0.07998615,-0.21799317,-0.00340508,-0.00003876,0.614604,0.63515502,0.90171647,0.12892666,-0.24703477,-0.04221152,-0.02246568,0.283902,-0.00133388,0.00193077,0.00347617,0.00031861,-0.00100140,0.00032476,29190.251953,31245.734375,0.93421558
390,6.500000,run,0.73810643,0.82763940,0.07998667,-0.15518042,-0.01516761,-0.00006292,0.576217,0.59916812,0.89263844,0.12548360,-0.17561585,-0.05360217,-0.00773769,0.263132,-0.00047850,-0.00031339,0.00400533,0.00077584,-0.00029800,0.00082380,29157.990234,31245.734375,0.93318307
400,6.666667,run,0.71784914,0.82330292,0.07998636,-0.09479975,-0.03761109,-0.00006372,0.584283,0.57658321,0.88255775,0.12615402,-0.10144819,-0.06588556,0.01568162,0.278092,0.00000193,-0.00090848,0.00265747,0.00072283,-0.00042611,0.00057644,29135.000000,31245.734375,0.93244728
